,longName,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,priceHint,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,timeZoneFullName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
RNAZ,"TransCode Therapeutics, Inc.",Biotechnology,Healthcare,10,,,,,,2,,,,,,0.647,0.001769651,-2.2562928,685475,685475,1664115,7256350,6865015,2.66,66.33,,6.35184,17.990444,2737839,,17259615,696249,743584,1382893,1727654400,1730332800,0.0431,9.00E-05,0.01994,0.5,0.0431,17265700,2.615,3.7705543,,-17905136,5571.72,-0.6,,-0.155,-0.57798326,0.19995654,,,NCM,EQUITY,RNAZ,America/New_York,9.86,20,20,20,20,2,buy,1,3354551,0.194,-17683348,227246,0.958,1.252,,17.186,,-2.0795,-10.48698,,-8542159,-15446278,,,,,,
TV,"Grupo Televisa, S.A.B.",Telecom Services,Communication Services,29373,,,,,,4,0.1,0.0504,1717027200,0.0023,0.61,1.392,0.05588484,-1.6107252,970363,970363,2044605,3205780,1060193024,1.66,3.65,0.014945046,1.8692,2.3395,76259942400,-0.07409,2013158137,535451008,10155711,9997124,1734048000,1736899200,0.0185,0.00041,0.27934998,5.44,,560256000,42.283,0.04682733,,-4819461120,35.43,0.03,1.075,3.265,-0.36129034,0.19995654,0.106,1717027200,NYQ,EQUITY,TV,America/New_York,1.98,10.732724,2.0063818,3.8916357,3.0209718,2.33333,buy,11,42181394432,15.755,23354748928,1.03877E+11,2.247,2.429,70939426816,84.82,130.645,0.00791,-0.03957,23761944576,8284670976,28860409856,,-0.064,0.33495998,0.32922,0.023740001,
ICON,Icon Energy Corp.,Marine Shipping,Industrials,,,,,,,4,0.34,1.0584999,1734307200,0.2642,,,1.0706667,-1.0361291,2846049,2846049,933591,3114070,3408028,0.301,3.85,0.7085297,1.8041,2.2216551,14790126,0.20062,1092688,10610300,16590,13790,1734048000,1736899200,0.0114,0.08803,0.07946,0.53,,10610300,9.973,0.03220696,,439000,0.3,1.1,3.075,8.798,-0.91324323,0.19995654,0.085,1734307200,NCM,EQUITY,ICON,America/New_York,0.3212,1.25,1.25,1.25,1.25,2,buy,1,1823000,1.438,1681000,16206000,,,4810000,128.202,3.795,0.028269999,0.07908,2135000,,1560000,,-0.081,0.44387,0.34948003,-0.45771,
VTLE,"Vital Energy, Inc.",Oil & Gas E&P,Energy,326,5,2,3,5,3,2,,,,,,3.17,2.0881379,3.8196115,716495,716495,763575,703690,1202197888,25.85,58.3,0.6454875,32.1544,36.84935,3683888128,0.25090998,26113101,38152900,6031300,6805802,1734048000,1736899200,0.15810001,0.22226,0.76962996,6.93,0.2327,38165100,84.1,0.374673,43.002,466204000,15.09,7.96,1.978,2.481,-0.29837453,0.19995654,,,NYQ,EQUITY,VTLE,America/New_York,31.51,62,32,42.72727,38,2.46154,buy,11,22192000,0.611,1485017984,2561632000,0.395,0.669,1862465024,83.827,54.183,0.0938,0.19354,1272838016,-1023606976,976889984,21.038,0.054,0.68342,0.79734004,0.683,
REI,"Ring Energy, Inc.",Oil & Gas E&P,Energy,108,7,5,3,3,3,4,,,,,,1.635,2.2280703,3.1358025,1223651,1223651,1786451,1407210,251708912,1.21,2.2,0.6884659,1.392,1.64365,,0.30828,138303174,198196000,11444923,12639406,1734048000,1736899200,0.0577,0.095699996,0.50275004,5.18,0.077800006,201316992,4.295,0.29569265,,112709272,0.57,0.42,,,-0.059259236,0.19995654,,,ASE,EQUITY,REI,America/New_York,1.27,3,3,3,3,2.33333,buy,2,,,283435136,396496608,0.387,0.541,365608384,46.575,1.853,0.08293,0.14224,292416576,-9852466,202877232,,-0.044,0.79981005,0.77524,0.64178,
GSL,"Global Ship Lease, Inc.",Rental & Leasing Services,Industrials,7,,,,,,2,1.8,0.0832,1732233600,0.1766,,1.619,2.424888,2.3018792,188832,188832,352443,265570,766571520,18.75,30.32,1.092798,21.7662,24.6975,1160203008,0.46775,32757753,35440200,913883,1020529,1734048000,1736899200,0.025799999,0.07481,0.58459,3.06,0.0278,35440200,39.147,0.55253273,-0.046,318576992,8.92,9.51,1.654,2.557,0.035919547,0.19995654,0.45,1732233600,NYQ,EQUITY,GSL,America/New_York,21.63,38,26,31,29,1.66667,buy,3,286905984,8.095,453656000,680537024,1.175,1.641,701475968,49.052,19.793,0.10747,0.25948998,490447008,310319008,429766016,-0.05,-0.003,0.69916,0.64672,0.53429,
DAC,Danaos Corporation,Marine Shipping,Industrials,4,,,,,,2,3.4,0.0425,1732492800,0.1108,,,2.7701628,2.777855,114485,114485,124508,88930,1547244032,69.33,98.25,1.5391695,79.2604,83.3962,1842840320,0.56162,9899804,19333300,555095,566365,1734048000,1736899200,0.0287,0.49752,0.19264999,4.91,0.056199998,19420600,175.055,0.4571706,-0.076,564566976,28.89,27.49,1.833,2.754,0.05219567,0.19995654,0.8,1724112000,NYQ,EQUITY,DAC,America/New_York,80.03,105,97,101,101,2,buy,2,384336000,19.867,669256000,678995968,2.55,3.927,1005246016,20.05,51.881,0.085930005,0.17983,765379968,-360376640,611291008,-0.068,0.071,0.76139,0.66576,0.51575,
STLA,Stellantis N.V.,Auto Manufacturers,Consumer Cyclical,258275,10,3,5,6,4,2,1.66,0.1285,1713744000,0.3563,,1.238,2.8628318,4.392396,12957335,12957335,9227110,11959790,37824266240,12.12,29.51,0.2146752,13.0614,16.4797,32858687488,0.07547,1909794253,2869590016,27622440,21698248,1734048000,1736899200,0.0096,0.27046,0.45997003,3.52,0.0114,3064130048,27.782,0.4657692,-0.485,13297000448,4.52,2.98,0.186,1.507,-0.47183675,0.19995654,1.652,1713744000,NYQ,EQUITY,STLA,America/New_York,12.94,31,12.4,18.48429,15.26,2.33333,buy,7,38065999872,12.94,21805000704,32260999168,0.781,1.144,1.76193E+11,39.188,59.896,0.05298,0.16757,31967000576,845000000,13980999680,-0.455,-0.136,0.18143,0.12376001,0.09304,
AGIO,"Agios Pharmaceuticals, Inc.",Biotechnology,Healthcare,383,5,3,4,7,5,2,,,,,,0.751,2.8696396,-5.772947,617448,617448,858385,538060,1908230400,24.69,62.58,58.052094,39.8174,42.83465,964307328,20.51377,50506511,57030200,5348522,5118666,1734048000,1736899200,0.0938,0.01509,1.06786,5.13,0.0951,57030200,28.527,1.1729238,,674307968,11.66,-6.08,29.336,-2.403,0.2928903,0.19995654,,,NMS,EQUITY,AGIO,America/New_York,33.46,75,46,57,56,2,buy,7,1004756992,17.618,-401288000,60834000,8.438,8.993,32871000,3.74,0.582,-0.18175,0.53655,-266584992,-157062624,-329161984,,0.212,,,-11.46932,
MITT,"AG Mortgage Investment Trust, Inc.",REIT - Mortgage,Real Estate,,6,2,5,9,5,2,0.75,0.1074,1735603200,0.3109,14.54,2.065,2.9327729,6.8134127,149162,149162,260543,204650,205978400,5.44,7.95,2.5511005,6.788,6.96295,6706479616,0.95128995,28536273,29509800,402634,436095,1734048000,1736899200,0.0136,0.07271,0.37774,1.07,0.014099999,29509800,10.837,0.6440897,,58334000,2.38,0.93,83.062,,0.1368078,0.19995654,0.19,1735603200,NYQ,EQUITY,MITT,America/New_York,6.98,52.5,8,15.70833,8.375,1.85714,buy,6,102681000,3.48,,6382709760,8.099,8.113,80741000,1181.797,2.902,0.012970001,0.15509,69002000,,50198000,,1.152,0.85460997,,0.84032995,
PARR,"Par Pacific Holdings, Inc.",Oil & Gas Refining & Marketing,Energy,1814,7,4,5,5,4,2,,,,,,1.994,3.1864076,11.084019,783444,783444,910150,827360,918173952,14.84,40.7,0.110281266,16.8708,21.19795,2239725312,0.03744,54424071,55952100,3062905,3639583,1734048000,1736899200,0.0547,0.02718,0.96588,2.95,0.066599995,55952100,22.398,0.7326547,-0.956,311696992,5.15,2.48,0.269,5.91,-0.58913374,0.19995654,,,NYQ,EQUITY,PARR,America/New_York,16.41,26,19,22.25,21.5,2.375,buy,8,182976992,3.27,378964000,1504528000,0.586,1.69,8325747200,119.976,144.003,0.04042,0.26809,1102973952,-505453504,96953000,-0.953,-0.169,0.13248,0.04552,0.015579999,
VAL,Valaris Limited,Oil & Gas Equipment & Services,Energy,4261,2,2,3,1,1,2,,,,,,1.176,3.191371,10.782546,985289,985289,1570341,1357020,3261489920,39.9,84.2,1.441861,45.5216,59.37045,4062889472,0.4752,59900178,71118400,9823227,10090510,1734048000,1736899200,0.1381,0.10037,0.99467003,6.35,0.1543,71118400,29.62,1.5482782,4.008,1074899968,14.37,5.27,1.796,10.079,-0.30756456,0.19995654,,,NYQ,EQUITY,VAL,America/New_York,45.86,70,40,55.18182,56,2.33333,buy,11,379300000,5.333,403100000,1171800064,1.36,1.606,2262000128,55.175,31.222,0.04595,0.64246005,514400000,-620025024,327500000,4.176,0.413,0.22740999,0.17820999,0.18551001,
ASC,Ardmore Shipping Corporation,Marine Shipping,Industrials,56,,,,,,2,1.08,0.0934,1732838400,0.29860002,,0.377,3.2563381,6.2771506,465752,465752,877451,666180,485651808,10.86,23.44,1.1491345,11.8132,16.94645,505139712,0.36221,39237948,42011400,2075716,2119672,1734048000,1736899200,0.0494,0.055069998,0.73774004,2.67,0.05,42542300,14.924,0.7745913,0.139,149671008,3.55,2.2,1.195,2.867,-0.30151057,0.19995654,0.38,1724976000,NYQ,EQUITY,ASC,America/New_York,11.56,27,13,17.6,16,1.8,buy,5,47574000,1.132,176164992,30012000,3.03,3.571,422624000,4.52,10.166,0.13005,0.25134,203138000,45689376,156211008,0.122,0.106,0.48066002,0.41684,0.26364002,
MUX,McEwen Mining Inc.,Other Precious Metals & Mining,Basic Materials,1977,,,,,,2,,,1551916800,,,1.438,3.3393664,-61.500004,10327831,10327831,707851,1494680,390585024,5.92,12.5,1.9565055,8.296,9.45085,402814176,0.51590997,44554231,52924800,980995,1051526,1734048000,1736899200,0.0185,0.15925999,0.31340998,2.46,0.027,52924800,9.487,0.7779066,,102994000,2.21,-0.12,2.018,12.556,0.063400626,0.19995654,0.05,1551916800,NYQ,EQUITY,MUX,America/New_York,7.38,18,13,14.8125,14.125,1.75,buy,4,30227000,0.571,32082000,42456000,0.635,1.17,199634000,8.456,4.013,-0.00077,0.22597,66231000,-13925750,46776000,,0.361,0.33176,0.1607,0.05709,
TEN,Tsakos Energy Navigation Limited,Oil & Gas Midstream,Energy,,,,,,,2,1.5,0.075500004,1720742400,0.053000003,2.74,-0.158,3.3491774,3.991285,160818,160818,366755,217830,540542592,15.88,31.48,0.6571603,18.0192,23.89655,2008554368,0.23513001,18412381,29505600,412517,192152,1727654400,1730332800,0.014,0.26674,0.22358999,1.23,0.019199999,29505600,54.466,0.3363566,0.26,167070000,5.47,7.53,2.442,5.113,-0.25437528,0.19995654,0.9,1734307200,NYQ,EQUITY,TEN,America/New_York,18.32,40,20,30.66667,32,1.66667,buy,3,472444992,16.012,392840000,1847553024,1.172,1.323,822542976,105.486,27.878,0.045560002,0.11665,443016000,-488968992,296999008,0.43,-0.033,0.53859,0.47759,0.32914,
